concurrency,timeout_ms,warmup_s,measure_s,plies,plies_per_s,games_per_s,mean_game_len,mean_batch,cap_hits
32,0.500,1.0,2.0,13641,6820.38,82.13,83.04,568.94,0
128,0.500,1.0,2.0,37535,18767.11,224.95,83.43,2184.35,0
512,0.500,1.0,2.0,62439,31218.43,373.67,83.55,3844.42,0
2048,0.500,1.0,2.0,48584,24291.84,290.04,83.75,4085.18,0
8192,0.500,1.0,2.0,41955,20976.13,248.57,84.39,4110.36,0
32,2.000,1.0,2.0,11776,5887.98,69.78,84.38,571.15,0
128,2.000,1.0,2.0,35072,17535.59,207.87,84.36,2274.70,0
512,2.000,1.0,2.0,55841,27918.22,331.11,84.32,4125.67,0
2048,2.000,1.0,2.0,57583,28787.69,341.57,84.28,4124.36,0
8192,2.000,1.0,2.0,59065,29530.86,349.77,84.43,4124.71,0
32,10.000,1.0,2.0,4352,2174.92,25.76,84.44,608.49,0
128,10.000,1.0,2.0,13952,6975.81,82.63,84.42,2294.39,0
512,10.000,1.0,2.0,70909,35454.04,420.23,84.37,4125.66,0
2048,10.000,1.0,2.0,72542,36270.11,430.05,84.34,4122.29,0
8192,10.000,1.0,2.0,59134,29564.30,350.19,84.42,4121.89,0
